file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-azure-bundle\nifi-azure-reporting-task\src\main\java\org\apache\nifi\reporting\azure\loganalytics\AzureLogAnalyticsReportingTask.java,org.apache.nifi.reporting.azure.loganalytics.AzureLogAnalyticsReportingTask,class,16,19,3,16,16,3,2,43,15,0.8333333,0.0,0.0,6,0,1,2,3,0,4,0,0,0,5,4,0,3,0,2,5,0,5,82,2,6,1,1,0,18,0,25,1,23,3,0,0,0,149,1,1
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-beats-bundle\nifi-beats-processors\src\main\java\org\apache\nifi\processors\beats\handler\BatchChannelInboundHandler.java,org.apache.nifi.processors.beats.handler.BatchChannelInboundHandler,class,7,8,1,7,5,2,0,10,0,0.0,1.0,1.0,2,0,1,0,1,0,2,0,0,0,2,0,0,2,0,0,2,0,2,33,0,1,1,0,0,5,1,9,0,8,2,0,0,0,43,1,3
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\c2\c2-client-bundle\c2-client-http\src\test\java\org\apache\nifi\c2\client\http\url\C2UrlProviderFactoryTest.java,org.apache.nifi.c2.client.http.url.C2UrlProviderFactoryTest,class,10,10,0,10,4,1,0,11,0,0.05,1.0,1.0,4,0,4,0,0,0,4,0,0,0,5,3,0,5,0,0,3,0,0,34,0,0,0,0,0,3,0,6,5,8,0,0,0,0,47,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-api\src\main\java\org\apache\nifi\components\PortFunction.java,org.apache.nifi.components.PortFunction,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-commons\nifi-utils\src\main\java\org\apache\nifi\util\concurrency\DebuggableTimedLock.java,org.apache.nifi.util.concurrency.DebuggableTimedLock,interface,0,3,3,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-framework-api\src\main\java\org\apache\nifi\components\state\StateProvider.java,org.apache.nifi.components.state.StateProvider,interface,4,4,0,4,13,1,0,1,78,0.0,0.0,0.0,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,197,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-framework-bundle\nifi-framework\nifi-framework-cluster\src\main\java\org\apache\nifi\cluster\coordination\http\endpoints\AbstractNodeStatusEndpoint.java,org.apache.nifi.cluster.coordination.http.endpoints.AbstractNodeStatusEndpoint,class,6,17,11,6,4,2,0,9,1,0.0,0.0,0.0,2,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,1,0,1,0,3,1,0,0,2,24,1025,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-framework-bundle\nifi-framework\nifi-framework-cluster\src\main\java\org\apache\nifi\cluster\coordination\http\endpoints\VerifyConfigEndpointMerger.java,org.apache.nifi.cluster.coordination.http.endpoints.VerifyConfigEndpointMerger,class,7,8,1,7,5,2,0,12,3,0.6666667,0.0,0.0,3,0,1,0,2,0,3,0,0,0,5,5,5,0,0,0,5,0,5,29,3,1,1,0,0,5,0,12,0,12,1,0,0,0,67,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-cipher-bundle\nifi-cipher-processors\src\main\java\org\apache\nifi\processors\cipher\algorithm\DigestAlgorithm.java,org.apache.nifi.processors.cipher.algorithm.DigestAlgorithm,enum,0,3,3,0,4,1,0,0,0,0.375,0.6666667,1.0,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,0,16,3,0,0,0,0,6,0,2,0,2,0,0,0,0,27,1,0
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\nifi\nifi-nar-bundles\nifi-framework-bundle\nifi-framework\nifi-framework-components\src\main\java\org\apache\nifi\controller\repository\io\TaskTerminationInputStream.java,org.apache.nifi.controller.repository.io.TaskTerminationInputStream,class,4,6,2,4,18,2,0,13,0,0.51515156,1.0,1.0,11,0,10,1,0,0,10,0,0,2,3,0,0,3,0,0,3,0,0,77,6,0,2,3,0,0,0,5,0,5,4,0,0,0,30,1,0
