file,class,method,variable,usage
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,AbstractType/1[java.lang.Class<?>],javaType,3
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\presto\presto-common\src\main\java\com\facebook\presto\common\type\AbstractType.java,com.facebook.presto.common.type.AbstractType,getJavaType/0,javaType,1
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\presto\presto-benchmark\src\main\java\com\facebook\presto\benchmark\BenchmarkSuite.java,com.facebook.presto.benchmark.BenchmarkSuite$ForwardingBenchmarkResultWriter,ForwardingBenchmarkResultWriter/1[java.util.List<com.facebook.presto.benchmark.BenchmarkResultHook>],benchmarkResultHooks,4
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\presto\presto-benchmark\src\main\java\com\facebook\presto\benchmark\BenchmarkSuite.java,com.facebook.presto.benchmark.BenchmarkSuite$ForwardingBenchmarkResultWriter,"addResults/1[java.util.Map<java.lang.String,java.lang.Long>]",benchmarkResultHooks,1
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\presto\presto-benchmark\src\main\java\com\facebook\presto\benchmark\BenchmarkSuite.java,com.facebook.presto.benchmark.BenchmarkSuite$ForwardingBenchmarkResultWriter,finished/0,benchmarkResultHooks,1
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\presto\presto-benchmark-runner\src\test\java\com\facebook\presto\benchmark\framework\AbstractExecutorTest.java,com.facebook.presto.benchmark.framework.AbstractExecutorTest,"assertEvent/3[com.facebook.presto.benchmark.event.BenchmarkQueryEvent,java.lang.String,com.facebook.presto.benchmark.event.BenchmarkQueryEvent.Status]",TEST_ID,1
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\presto\presto-benchmark-runner\src\test\java\com\facebook\presto\benchmark\framework\AbstractExecutorTest.java,com.facebook.presto.benchmark.framework.AbstractExecutorTest,getEventClient/0,eventClient,1
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\presto\presto-benchmark-runner\src\test\java\com\facebook\presto\benchmark\framework\AbstractExecutorTest.java,com.facebook.presto.benchmark.framework.AbstractExecutorTest,setup/0,eventClient,1
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\presto\presto-cassandra\src\test\java\com\facebook\presto\cassandra\TestCassandraTokenSplitManager.java,com.facebook.presto.cassandra.TestCassandraTokenSplitManager,testPartitionCountOverride/0,session,5
C:\Users\Narendra\Desktop\OO_Programing\Group_Assignment_1\presto\presto-cassandra\src\test\java\com\facebook\presto\cassandra\TestCassandraTokenSplitManager.java,com.facebook.presto.cassandra.TestCassandraTokenSplitManager,testPartitionCountOverride/0,KEYSPACE,6
